run_id,label,valid,max_running_requests,chunked_prefill_size,radix_cache,request_count,success_count,throughput_requests_s,throughput_output_tokens_s,energy_j,joules_per_request,joules_per_1000_output_tokens,p95_ttft_ms,p95_tpot_ms,p95_e2e_ms,queue_median,queue_nonzero_fraction
036-s3-cold-PX50-mrr-128_chunk-8192_cache-on,s3-cold-PX50-mrr-128_chunk-8192_cache-on,True,128,8192,True,544,544,11.919992320054458,1525.7590169669706,48389.078999996185,88.95051286764004,694.9258817784379,221.23891338706028,25.395412423361947,3400.4773477092385,0.0,0.010869565217391304
037-s3-cold-PX87-mrr-128_chunk-8192_cache-on,s3-cold-PX87-mrr-128_chunk-8192_cache-on,False,128,8192,True,544,544,11.939282300279753,1528.2281344358084,39379.0670003891,72.38799080953879,565.5311781995217,210.11657798662787,20.111568400445655,2685.4106995277107,0.0,0.01098901098901099
038-s3-confirm-PX0-mrr-128_chunk-8192_cache-off-seed-2026082501,s3-confirm-PX0-mrr-128_chunk-8192_cache-off-seed-2026082501,False,128,8192,False,1125,1123,12.345526241057364,1580.2273588553426,118016.72899961472,105.09058682067206,821.0202095365004,725.6168290972702,65.15407814666277,8664.145370759068,0.0,0.19230769230769232
039-s3-confirm-PX0-mrr-128_chunk-8192_cache-off-seed-2026082502,s3-confirm-PX0-mrr-128_chunk-8192_cache-off-seed-2026082502,True,128,8192,False,1111,1111,12.189458061449493,1560.250631865535,118466.56900024414,106.6305751577355,833.0513684198086,480.32738734036684,66.70296787628976,8709.754575043917,0.0,0.15384615384615385
040-s3-confirm-PX87-mrr-128_chunk-8192_cache-off-seed-2026082501,s3-confirm-PX87-mrr-128_chunk-8192_cache-off-seed-2026082501,False,128,8192,False,1120,1119,12.378257620761138,1584.4169754574257,117851.93099975586,105.31897319013035,822.8044780478933,593.1833790615199,66.9814489121864,8818.772900663316,0.0,0.18333333333333332
041-s3-confirm-PX87-mrr-128_chunk-8192_cache-off-seed-2026082502,s3-confirm-PX87-mrr-128_chunk-8192_cache-off-seed-2026082502,True,128,8192,False,1104,1104,12.175977049762087,1558.5250623695472,117724.69799995422,106.63469021734984,833.0835173230456,514.0520907007157,66.8786466341671,8715.858339518309,0.0,0.13812154696132597
042-s3-confirm-PX0-mrr-128_chunk-8192_cache-on-seed-2026082501,s3-confirm-PX0-mrr-128_chunk-8192_cache-on-seed-2026082501,False,128,8192,True,1125,1125,12.365154377193717,1582.7397602807957,117764.05999994278,104.67916444439358,817.8059722218248,1684.1293476521964,57.25994307225145,8621.054669469595,2.0,0.6153846153846154
043-s3-confirm-PX0-mrr-128_chunk-8192_cache-on-seed-2026082502,s3-confirm-PX0-mrr-128_chunk-8192_cache-on-seed-2026082502,False,128,8192,True,1111,1111,12.148772339935812,1555.042859511784,113536.98799943924,102.19350855035034,798.3867855496121,5891.436330974102,88.75806273995187,13067.57616251707,19.0,0.9234972677595629
044-s3-confirm-PX87-mrr-128_chunk-8192_cache-on-seed-2026082501,s3-confirm-PX87-mrr-128_chunk-8192_cache-on-seed-2026082501,False,128,8192,True,1120,1120,12.41963457938497,1589.7132261612762,78401.55599975586,70.0013892854963,546.8858537929399,112.01736489310859,18.09412001038161,2405.1038147881627,0.0,0.005555555555555556
045-s3-confirm-PX87-mrr-128_chunk-8192_cache-on-seed-2026082502,s3-confirm-PX87-mrr-128_chunk-8192_cache-on-seed-2026082502,False,128,8192,True,1104,1104,12.211381674852579,1563.05685438113,78259.95100021362,70.88763677555582,553.8096623090298,119.4373155944049,20.407880723153742,2709.703127667308,0.0,0.016574585635359115
